iter	Logloss
0	0.6428789169
1	0.6014704081
2	0.5686222511
3	0.5454800332
4	0.5284979298
5	0.5147795738
6	0.5008755379
7	0.4911290047
8	0.4835433911
9	0.4751841311
10	0.4700913704
11	0.4646213407
12	0.4589374864
13	0.4530686061
14	0.4488271866
15	0.4467848981
16	0.4450297556
17	0.4417409309
18	0.4403714103
19	0.4365131904
20	0.4345111429
21	0.432746015
22	0.4306741634
23	0.4285629625
24	0.4258597181
25	0.4236706344
26	0.4222741973
27	0.4202996885
28	0.4184523432
29	0.4172745433
30	0.4161312006
31	0.4147519701
32	0.4122825859
33	0.410357214
34	0.408772643
35	0.4067949537
36	0.4050175205
37	0.4029215042
38	0.4018091023
39	0.4009388889
40	0.399788374
41	0.3975273062
42	0.3962381822
43	0.3953049913
44	0.394297281
45	0.3927728392
46	0.3917137893
47	0.3899564008
48	0.3891612404
49	0.3886358154
50	0.3863720232
51	0.3852138301
52	0.3841913784
53	0.381815418
54	0.3800367964
55	0.3785758129
56	0.3775365816
57	0.3768543676
58	0.375841235
59	0.3746562867
60	0.3733099458
61	0.3719044264
62	0.3709274394
63	0.3696282674
64	0.3674760758
65	0.3667046675
66	0.3655898371
67	0.365010999
68	0.3642504901
69	0.3636690988
70	0.3635940032
71	0.3627331843
72	0.3613557302
73	0.359770249
74	0.3586624669
75	0.3577550738
76	0.3565180186
77	0.3556568577
78	0.354623514
79	0.3533638804
80	0.3520434034
81	0.3508533994
82	0.3503732575
83	0.3494757739
84	0.3488445312
85	0.3476931762
86	0.3465614386
87	0.3455940312
88	0.3446289471
89	0.3436627369
90	0.3426561816
91	0.3417756023
92	0.341236208
93	0.3403520568
94	0.3398255888
95	0.3389644409
96	0.3374733612
97	0.3368287269
98	0.3354268934
99	0.3348188427
100	0.3338425006
101	0.3328304184
102	0.3321417909
103	0.3313605489
104	0.3305790828
105	0.3298704711
106	0.3288665131
107	0.3280889249
108	0.326851705
109	0.3260835131
110	0.3244909987
111	0.3236725072
112	0.3228610252
113	0.3215929925
114	0.3205966386
115	0.3193548118
116	0.3185193935
117	0.3179736836
118	0.3167338241
119	0.3160915235
120	0.3153431722
121	0.314503656
122	0.3138386616
123	0.3131618887
124	0.3126750093
125	0.3115030036
126	0.3108043665
127	0.3101859239
128	0.3088858138
129	0.3078030124
130	0.3069501172
131	0.3063483018
132	0.3053404073
133	0.3044016337
134	0.3033424041
135	0.3023577279
136	0.3018661613
137	0.3010106544
138	0.3004248294
139	0.2991542055
140	0.2986000082
141	0.2980179437
142	0.2969843039
143	0.2963357987
144	0.2952719991
145	0.2940276516
146	0.2933225535
147	0.292820758
148	0.2922616453
149	0.2913375148
150	0.29029067
151	0.2890464859
152	0.2883354192
153	0.2877628148
154	0.2872218061
155	0.2866659094
156	0.2861082025
157	0.2856660447
158	0.2850963873
159	0.2844656439
160	0.2835433764
161	0.2825369674
162	0.2820754594
163	0.2814125602
164	0.2806251417
165	0.2797413147
166	0.2790275473
167	0.2783759212
168	0.2779044692
169	0.2773283668
170	0.2765157037
171	0.2761267335
172	0.2756530243
173	0.2749405028
174	0.2739947533
175	0.2734350974
176	0.2727769023
177	0.272248543
178	0.2716256557
179	0.2709073286
180	0.270285585
181	0.2696162611
182	0.2691234355
183	0.2685814546
184	0.2678614623
185	0.2673495826
186	0.2669548353
187	0.2664132231
188	0.2661724613
189	0.2657261598
190	0.2652252675
191	0.2646709301
192	0.2642641471
193	0.2630290523
194	0.2624247402
195	0.2619924556
196	0.2615122046
197	0.2610399262
198	0.2599425843
199	0.2594535041
200	0.2587663961
201	0.2579018003
202	0.2572611143
203	0.2563901267
204	0.2559174494
205	0.2550367862
206	0.2546725637
207	0.2543610439
208	0.25361558
209	0.2531250877
210	0.2524744194
211	0.2517346908
212	0.2510448707
213	0.2501010867
214	0.2495698969
215	0.2488498023
216	0.2482644007
217	0.2476865154
218	0.2473493815
219	0.2467526489
220	0.2462663416
221	0.2457649794
222	0.2452972065
223	0.2446755056
224	0.2439833228
225	0.2434175197
226	0.2428621493
227	0.2421047238
228	0.2417061505
229	0.2412538506
230	0.2408793907
231	0.240523677
232	0.2401430166
233	0.2397317361
234	0.2393108084
235	0.2389924882
236	0.2384794252
237	0.2380413304
238	0.237607049
239	0.2373243556
240	0.2368662367
241	0.2361954938
242	0.2358902639
243	0.2354281884
244	0.2348377501
245	0.2344018144
246	0.2339279486
247	0.2332305143
248	0.2326962003
249	0.2321526018
250	0.2317829079
251	0.2314580094
252	0.2310470157
253	0.2306517797
254	0.2301794368
255	0.2298449221
256	0.2293070668
257	0.2289934446
258	0.2284513371
259	0.2281906565
260	0.2277038604
261	0.2272333063
262	0.2267084616
263	0.2259951966
264	0.2253536453
265	0.2248897975
266	0.2243721609
267	0.2236438546
268	0.223122382
269	0.2226941812
270	0.2223565356
271	0.2220534504
272	0.2215919209
273	0.2212694324
274	0.2205327609
275	0.2202325365
276	0.2197812056
277	0.2191003333
278	0.2186041521
279	0.2179436544
280	0.2174687186
281	0.2171012737
282	0.2163414545
283	0.2159431262
284	0.2155016675
285	0.2151595117
286	0.2148339121
287	0.2144492253
288	0.2141685017
289	0.2136622791
290	0.2131441054
291	0.2129286467
292	0.2122808453
293	0.2119567288
294	0.2110806151
295	0.2105949715
296	0.2098792541
297	0.2092124066
298	0.2087350266
299	0.2085376024
